Internal ID,Location,Display Name Code, Number,Available
213701,Mty_Tecnico_1,IMCT keyboard wire,301020,2
222861,Mty_Tecnico_2,IMCT keyboard wire,300621,1
192469,M�rida (QME),IMCT keyboard wire,241019,1
204123,M�rida (QME),IMCT keyboard wire,300220,1
222861,M�xico (QME),IMCT keyboard wire,300621,70
213701,M�xico (QME),IMCT keyboard wire,301020,85
212048,Nuevo Laredo (QME),IMCT keyboard wire,161020,1
218810,Nuevo Laredo (QME),IMCT keyboard wire,270421,4
204238,Nuevo Laredo (QME),IMCT keyboard wire,300620,1
222861,Nvo_Laredo_Tecnico_5,IMCT keyboard wire,300621,1
221281,Operaciones,IMCT keyboard wire,030621,4
212048,Orizaba,IMCT keyboard wire,161020,1
204238,Orizaba,IMCT keyboard wire,300620,2
212158,Orizaba_Tecnico_2,IMCT keyboard wire,171020,1
212158,Puebla,IMCT keyboard wire,171020,2
221281,Quer�taro (QME),IMCT keyboard wire,030621,3
213701,Quer�taro (QME),IMCT keyboard wire,301020,2
213701,Sinercomm (QME),IMCT keyboard wire,301020,7
218810,Tabla Honda,IMCT keyboard wire,270421,4
220735,Tabla Honda,IMCT keyboard wire,280521,4
212158,Tabla_Honda_Tecnico_9,IMCT keyboard wire,171020,1
213701,Tabla_Honda_Tecnico_9,IMCT keyboard wire,301020,1
204123,Toluca (QME),IMCT keyboard wire,300220,3
220735,T�cnicos (QME),IMCT keyboard wire,280521,1
216294,Veracruz (QME),IMCT keyboard wire,231220,1
191191,M�xico (QME),Deutsch connectors set,091019,26
182512,M�xico (QME),Deutsch connectors set,160719,1
214158,Aguascalientes (QME),OBC630 power wire,111120,1
214158,Cham_Tecnico_4,OBC630 power wire,111120,1
214158,Cham_Tecnico_5,OBC630 power wire,111120,1
205014,Cham_Tecnico_9,OBC630 power wire,060720,7
203023,Cham_Tecnico_9,OBC630 power wire,100620,1
177956,Cham_Tecnico_9,OBC630 power wire,150519,1
203023,Ciudad Ju�rez (QME),OBC630 power wire,100620,3
205014,Coatzacoalcos (QME),OBC630 power wire,060720,1
214158,Cordoba (QME),OBC630 power wire,111120,1
206616,Cordoba (QME),OBC630 power wire,180820,2
208271,Culiacan_Tecnico_1,OBC630 power wire,090920,1
214158,Culiac�n (QME),OBC630 power wire,111120,1
203023,Guadalajara (QME),OBC630 power wire,100620,5
203023,Le�n (QME),OBC630 power wire,100620,3
214158,Le�n (QME),OBC630 power wire,111120,3
203023,Monterrey (QME),OBC630 power wire,100620,5
214158,Monterrey (QME),OBC630 power wire,111120,2
208271,Mty_Tecnico_1,OBC630 power wire,090920,2
203023,Mty_Tecnico_1,OBC630 power wire,100620,1
208271,M�rida (QME),OBC630 power wire,090920,1
205014,M�xico (QME),OBC630 power wire,060720,1
208271,M�xico (QME),OBC630 power wire,090920,3
206616,M�xico (QME),OBC630 power wire,180820,80
174926,M�xico (QME),OBC630 power wire,270319,1
205014,Nuevo Laredo (QME),OBC630 power wire,060720,1
214158,Nuevo Laredo (QME),OBC630 power wire,111120,2
206616,Nuevo Laredo (QME),OBC630 power wire,180820,3
214158,Puebla,OBC630 power wire,111120,1
205014,Quer�taro (QME),OBC630 power wire,060720,2
214158,Quer�taro (QME),OBC630 power wire,111120,3
214158,Sinercomm (QME),OBC630 power wire,111120,1
206616,Sinercomm (QME),OBC630 power wire,180820,2
208271,Tabla Honda,OBC630 power wire,090920,2
214158,Tabla Honda,OBC630 power wire,111120,3
206616,Tabla Honda,OBC630 power wire,180820,3
205014,Toluca (QME),OBC630 power wire,060720,1
203023,Toluca (QME),OBC630 power wire,100620,3
214158,Toluca (QME),OBC630 power wire,111120,1
206617,Aguascalientes (QME),OBC630 data I/O wire,180820,1
214159,Cham_Tecnico_4,OBC630 data I/O wire,111120,1
214159,Cham_Tecnico_5,OBC630 data I/O wire,111120,1
205015,Cham_Tecnico_9,OBC630 data I/O wire,050620,2
208272,Cham_Tecnico_9,OBC630 data I/O wire,090920,7
203024,Ciudad Ju�rez (QME),OBC630 data I/O wire,100620,3
214159,Cordoba (QME),OBC630 data I/O wire,111120,2
206617,Cordoba (QME),OBC630 data I/O wire,180820,1
208272,Culiac�n (QME),OBC630 data I/O wire,090920,1
206617,Culiac�n (QME),OBC630 data I/O wire,180820,1
203024,Guadalajara (QME),OBC630 data I/O wire,100620,1
206617,Guadalajara (QME),OBC630 data I/O wire,180820,3
203024,Monterrey (QME),OBC630 data I/O wire,100620,4
206617,Monterrey (QME),OBC630 data I/O wire,180820,2
208272,M�rida (QME),OBC630 data I/O wire,090920,1
203024,M�xico (QME),OBC630 data I/O wire,100620,1
214159,M�xico (QME),OBC630 data I/O wire,111120,36
206617,M�xico (QME),OBC630 data I/O wire,180820,10
121212,M�xico (QME),OBC630 data I/O wire,230317,1
182915,M�xico (QME),OBC630 data I/O wire,260719,1
203024,Nuevo Laredo (QME),OBC630 data I/O wire,100620,1
214159,Nuevo Laredo (QME),OBC630 data I/O wire,111120,3
206617,Nuevo Laredo (QME),OBC630 data I/O wire,180820,2
206617,Puebla,OBC630 data I/O wire,180820,1
208272,Quer�taro (QME),OBC630 data I/O wire,090920,2
206617,Quer�taro (QME),OBC630 data I/O wire,180820,3
214159,Sinercomm (QME),OBC630 data I/O wire,111120,3
214159,Tabla Honda,OBC630 data I/O wire,111120,2
206617,Tabla Honda,OBC630 data I/O wire,180820,6
203024,Toluca (QME),OBC630 data I/O wire,100620,3
206617,Toluca (QME),OBC630 data I/O wire,180820,1
123518,Toluca (QME),OBC630 data I/O wire,240517,1
226159,Chihuahua (QME),"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",150921,1
226185,Cordoba (QME),"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",230921,1
226159,Guadalajara (QME),"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",150921,2
226159,Guad_Tecnico_1,"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",150921,1
226159,M�xico (QME),"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",150921,5
226185,M�xico (QME),"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",230921,42
226159,Nvo_Laredo_Tecnico_1,"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",150921,1
226185,Orizaba_Tecnico_1,"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",230921,1
226159,Puebla,"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",150921,6
226159,Veracruz (QME),"45-JE133-1A IVG, Cable, Type 1, 9 pin, 250 KPBS",150921,2
191718,Ciudad Ju�rez (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",151019,1
222851,Ciudad Ju�rez (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",300621,2
191718,Cordoba (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",151019,2
222851,Cordoba (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",300621,6
191718,Culiac�n (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",151019,2
199380,Guadalajara (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",310120,6
199380,Le�n (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",310120,2
216289,Monterrey (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",181220,11
199380,Mty_Tecnico_3,"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",310120,1
216289,M�xico (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",181220,5
216863,M�xico (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",190121,12
220729,M�xico (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",280521,50
222851,M�xico (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",300621,29
199380,M�xico (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",310120,3
191718,Nuevo Laredo (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",151019,2
216289,Nuevo Laredo (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",181220,4
216863,Nuevo Laredo (QME),"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",190121,1
191718,Orizaba_Tecnico_1,"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",151019,1
216289,Orizaba_Tecnico_2,"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",181220,1
222851,Orizaba_Tecnico_2,"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",300621,1
222851,Puebla,"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",300621,10
199380,Tabla Honda,"45-JE137-1A IVG Cable, Type 2, 9 pin, 500 KPBS",310120,1
183320,Ciudad Ju�rez (QME),"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300219,2
179199,Ciudad Ju�rez (QME),"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300519,1
